"","pfile","lfile","totPARleaf","totPARdir","totPARdiff","totPARinc","totALEAF","totALEAF0","totELEAF"
"1","yplant/euc_plfiles/euchae3.p","yplant/euc_plfiles/euchae.l",2.51505765715503,1.29996107309609,1.21509658405894,5.45795072220488,0.0511056290289876,0.0675818704284437,0.0200032232302996
"2","yplant/euc_plfiles/euchae1.p","yplant/euc_plfiles/euchae.l",0.584385488996616,0.296550219617481,0.287835269379135,1.19165800661963,0.0115907299336698,0.0147554423074475,0.00456455646221867
"3","yplant/euc_plfiles/euchae2.p","yplant/euc_plfiles/euchae.l",5.55553053850765,2.9949895249514,2.56054101355625,11.8908141546163,0.110325277909018,0.14723538236002,0.0434165631380871
"4","yplant/euc_plfiles/euchaeR90.p","yplant/euc_plfiles/euchae.l",3.07981620391617,1.69712885050205,1.38268735341412,6.0326902267037,0.0593581009232199,0.0746984555168953,0.0234158557029724
"5","yplant/euc_plfiles/euchaeR50.p","yplant/euc_plfiles/euchae.l",1.47167563865913,0.769636497676334,0.702039140982796,2.98106571868018,0.028920812429869,0.0369123884389216,0.0114029817782157
"6","yplant/euc_plfiles/euchaeR70.p","yplant/euc_plfiles/euchae.l",3.15441569311311,1.68628044805375,1.46813524505936,6.55733766444303,0.0627866333584621,0.0811947866423604,0.0247434246978556
"7","yplant/euc_plfiles/euchaeR91.p","yplant/euc_plfiles/euchae.l",2.1112022690602,1.09003426375946,1.02116800530074,4.52624998748481,0.0428339357163454,0.056045291676318,0.016879349986277
"8","yplant/euc_plfiles/euchaeR71.p","yplant/euc_plfiles/euchae.l",1.72740046496833,0.876337236614743,0.851063228353587,3.68318315792738,0.0345307854620898,0.0456062026962967,0.0136851456101241
"9","yplant/euc_plfiles/10nd.p","yplant/euc_plfiles/10nd_leaf.l",75.5171987203319,42.3278224569263,33.1893762634055,185.934834544212,1.54392499410831,2.30229705907362,0.612029151876367
"10","yplant/euc_plfiles/11nd.p","yplant/euc_plfiles/11nd_leaf.l",78.8755337814031,43.9641229723708,34.9114108090323,218.462329682473,1.66787412847213,2.70506158988048,0.661371561585514
"11","yplant/euc_plfiles/12nd.p","yplant/euc_plfiles/12nd_leaf.l",59.1602756381467,32.7955236630515,26.3647519750952,150.589859108591,1.2424296790451,1.86464570020945,0.493092489377006
"12","yplant/euc_plfiles/7d.p","yplant/euc_plfiles/7d_leaf.l",44.9253232125874,25.232837395191,19.6924858173964,99.2496486495759,0.887629666293913,1.22893687328759,0.352659589599576
"13","yplant/euc_plfiles/33d.p","yplant/euc_plfiles/33d_leaf.l",37.9607890004378,20.97797776965,16.9828112307878,91.7940804382157,0.782974845835979,1.13661994510781,0.310377049039879
"14","yplant/euc_plfiles/8d.p","yplant/euc_plfiles/8d_leaf.l",54.1132379095584,28.9785807115501,25.1346571980083,150.932962891528,1.18208345540939,1.86889410709,0.468442405093334
"15","yplant/euc_plfiles/35nd.p","yplant/euc_plfiles/35nd_leaf.l",57.1015959288255,31.3569298334482,25.7446660953773,137.779354131345,1.17538378194797,1.70602244918357,0.465877283592372
"16","yplant/euc_plfiles/36nd.p","yplant/euc_plfiles/36nd_leaf.l",32.2674614023583,18.0159640257806,14.2514973765777,71.3111460156737,0.641768723580099,0.882994529527044,0.254764046859463
"17","yplant/euc_plfiles/46nd.p","yplant/euc_plfiles/46nd_leaf.l",53.6636044864145,28.9460991164623,24.7175053699522,144.847909791357,1.17256748641261,1.79354727984716,0.463320085296111
"18","yplant/euc_plfiles/9d.p","yplant/euc_plfiles/9d_leaf.l",38.8783771392378,21.6742613737624,17.2041157654754,85.4983148355981,0.770602032898463,1.0586640168007,0.305945585734999
"19","yplant/euc_plfiles/44d.p","yplant/euc_plfiles/44d_leaf.l",29.7192211148783,16.787750262646,12.9314708522323,59.8265905174722,0.566106841691224,0.740789555332227,0.224600008666802
"20","yplant/euc_plfiles/45d.p","yplant/euc_plfiles/45d_leaf.l",26.5237946710656,14.8370457815074,11.6867488895582,53.3957631285374,0.508506242118836,0.661161254259713,0.201906642084194
"21","yplant/euc_plfiles/21d.p","yplant/euc_plfiles/21d_leaf.l",42.1944459964805,23.284406780987,18.9100392154935,101.386083630257,0.866817236360287,1.25539080799531,0.343411716668699
"22","yplant/euc_plfiles/47nd.p","yplant/euc_plfiles/47nd_leaf.l",63.6178013353689,34.6975907055497,28.9202106298192,151.688012530328,1.3068498777387,1.87824334262795,0.518471031018208
"23","yplant/euc_plfiles/23nd.p","yplant/euc_plfiles/23nd_leaf.l",66.0252058298847,36.775043365388,29.2501624644967,152.318566633252,1.34101840638032,1.88605103966498,0.531251154067029
"24","yplant/euc_plfiles/20d.p","yplant/euc_plfiles/20d_leaf.l",36.9702923241227,20.3239744087112,16.6463179154116,79.5415794368595,0.728338503624411,0.984906055180359,0.288355855104847
"25","yplant/euc_plfiles/19d.p","yplant/euc_plfiles/19d_leaf.l",48.0832064317718,26.324348825645,21.7588576061269,114.663788387057,0.984220775850265,1.41979905719597,0.389686074096295
"26","yplant/euc_plfiles/22nd.p","yplant/euc_plfiles/22nd_leaf.l",88.5250561580978,47.9598361631882,40.5652199949096,263.416756709214,1.96370019105712,3.26169986258346,0.777746305969906
"27","yplant/euc_plfiles/43d.p","yplant/euc_plfiles/43d_leaf.l",42.7947486974258,23.5566346651538,19.238114032272,102.662568442475,0.881436320433709,1.27119659950462,0.348946367851819
"28","yplant/euc_plfiles/24nd.p","yplant/euc_plfiles/24nd_leaf.l",78.7874939910571,42.9283327479735,35.8591612430836,214.858711283813,1.70316136695879,2.66044058025849,0.674060488090967
"29","yplant/euc_plfiles/31d.p","yplant/euc_plfiles/31d_leaf.l",17.2268140770607,9.7835293942466,7.44328468281413,33.4205497257822,0.321934347792748,0.413822582169217,0.12781627604421
"30","yplant/euc_plfiles/32d.p","yplant/euc_plfiles/32d_leaf.l",40.8440707601685,22.6884524743911,18.1556182857774,91.693548779594,0.815552909822547,1.13537513402894,0.322681471906396
"31","yplant/euc_plfiles/34nd.p","yplant/euc_plfiles/34nd_leaf.l",55.0543268063593,30.0542744159562,25.0000523904031,131.764187273282,1.12992534041756,1.63154097291204,0.448325431265127
"32","yplant/euc_plfiles/esalroom2pot50.p","yplant/euc_plfiles/leafpot50_true.lf",10.2025166095034,5.95408972164585,4.24842688785753,20.7297897097324,0.191407886941078,0.2566820467016,0.0764603660173926
"33","yplant/euc_plfiles/Esal-ch7-tree37.p","yplant/euc_plfiles/ch7tree37.lf",22.4260687305652,12.8845153650986,9.54155336546661,53.3502107273373,0.446454884518041,0.660597211703762,0.178611956086278
"34","yplant/euc_plfiles/esalroom2pot41.p","yplant/euc_plfiles/leafpot41_true.lf",8.75630290538805,5.0171550962839,3.73914780910416,17.0075301185243,0.162681198370044,0.210591988693081,0.0648591715357114
"35","yplant/euc_plfiles/esal-ch2-tree48.p","yplant/euc_plfiles/ch2tree48.lf",16.2019705229981,9.22922176906025,6.97274875393788,39.3596156720191,0.325004355565349,0.487361755693016,0.130351378961846
"36","yplant/euc_plfiles/esalroom5pot392.p","yplant/euc_plfiles/leafpot392_true.lf",10.0214582151829,5.73730948037709,4.28414873480582,20.1354191012226,0.188180427112727,0.249322383799667,0.0750336642976837
"37","yplant/euc_plfiles/esal-ch10-tree1S.p","yplant/euc_plfiles/ch10tree1S.lf",9.57494131099896,5.53394436660567,4.04099694439329,20.4988678022749,0.185067787412097,0.253822707139336,0.0736933245545984
"38","yplant/euc_plfiles/esalroom7pot591.p","yplant/euc_plfiles/leafpot591_true.lf",16.5142016475055,9.13100112637183,7.38320052113368,33.1114899772931,0.313946208802485,0.409995718032819,0.124229391265058
"39","yplant/euc_plfiles/esalroom3pot131.p","yplant/euc_plfiles/leafpot131_true.lf",7.99420647676002,4.52680005519164,3.46740642156838,16.5176171541212,0.153347180370283,0.204525749518952,0.0609855091724971
"40","yplant/euc_plfiles/esalroom3pot151.p","yplant/euc_plfiles/leafpot151_true.lf",8.92842287047598,5.12569974512013,3.80272312535584,17.7094207422699,0.168420981029213,0.219282994457558,0.0669768161131585
"41","yplant/euc_plfiles/esal-ref.p","yplant/euc_plfiles/ch11tree45.lf",15.5902749027639,9.17841754187335,6.41185736089056,36.5875564744378,0.305867923464756,0.453037344380773,0.122054312986607
"42","yplant/euc_plfiles/esalroom7pot588_fix.p","yplant/euc_plfiles/leafpot588_true.lf",14.7285004224808,8.54363327815589,6.18486714432495,31.1174064214157,0.282423270820276,0.385304418430474,0.112221472132582
"43","yplant/euc_plfiles/Esal-ch12-tree46_fix.p","yplant/euc_plfiles/ch12tree46.lf",5.25242296805466,2.96121116829029,2.29121179976437,10.8344338518091,0.0990154825771926,0.134154986368713,0.0395335712390884
"44","yplant/euc_plfiles/esalroom5pot360.p","yplant/euc_plfiles/leafpot360_true.lf",16.2867987796712,8.971536995894,7.3152617837772,35.3430497755771,0.32273973166634,0.43762751480361,0.127709581711896
"45","yplant/euc_plfiles/Esal-ch1-tree54.p","yplant/euc_plfiles/ch1tree54.lf",12.451407597038,7.23245315900406,5.21895443803395,30.5031190955491,0.248278444504078,0.377698141170833,0.0991580938727022
"46","yplant/euc_plfiles/esalroom4pot251.p","yplant/euc_plfiles/leafpot251_true.lf",10.5684371012355,6.14234537272953,4.42609172850595,21.6439276684633,0.198157422498591,0.268001158255563,0.0786924056062274
"47","yplant/euc_plfiles/esalroom6pot460.p","yplant/euc_plfiles/leafpot460_true.lf",11.4825644302914,6.27186862618938,5.21069580410206,25.779672860389,0.228219367602958,0.319211110472367,0.0905183765629017
"48","yplant/euc_plfiles/esalroom4pot259.p","yplant/euc_plfiles/leafpot259_true.lf",11.9124122850414,6.51064700316374,5.40176528187762,25.9060155997983,0.235040102030368,0.320775521563437,0.0930704523816258
"49","yplant/euc_plfiles/esalroom6pot449.p","yplant/euc_plfiles/leafpot449_true.lf",13.6616918102363,7.68402778656373,5.97766402367259,33.6947413049322,0.277096678355968,0.417217698893028,0.109932869360518
