"Ct,f","Ct,w","Ct,r","Ct"
0.932023849990767,2.35573212873914,2.51840919075323,5.80616516948314
2.47862534663316,5.4421002663622,7.35371457514431,15.2744401881397
-0.0115283753034483,-0.0247116564192122,-0.0325969774794492,-0.0688370092021098
0.810308784869695,-0.080106901284752,0.800257094238761,1.5304589778237
0.0615093935476438,0.148244099111298,0.199900212229029,0.409653704887972
0.405624314975557,0.295738381509078,0.433956997186038,1.13531969367067
0.0501984307808948,0.162173101030441,0.224940077928809,0.437311609740146
4.72676174549427,8.29916941904819,11.4985811700007,24.5245123345432
21.8332304972686,22.5907362042032,39.5671258375845,83.9910925390563
17.1064687517743,14.291566785155,28.0685446675838,59.4665802045131
