"Volume (L)","GPP (g C)","Rg (g C)","Rm (g C)","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Clit (g C)"
5,18.1647534098243,3.50595269867755,6.54363819909592,0.192573917897092,0.774757801605845,2.60704673318959,2.52382705723364,2.01695700212463
10,25.5689741722896,4.76994755142711,9.58763127892438,0.285453094529557,1.165329792915,3.75401377596365,3.46657952242534,2.54001915610457
15,31.5687797723819,5.65767993065036,10.7402612713926,0.821646413926359,1.73723727763788,5.3572239315336,4.44151220078809,2.81321874645304
20,26.7599768714938,4.43056523607044,9.91891778914833,0.41997008237611,1.60039055021347,4.5549717325004,3.33815816924213,2.4970033119429
25,35.509987538521,7.08623276166669,8.72569469371938,0.619005311605114,2.67590776268238,7.63566643191781,5.29461521154773,3.4728653653819
35,51.812610535137,9.96215395491986,12.5845949186376,1.2765968056021,4.15391367917915,11.9511532105737,7.66780999386659,4.21638797235801
1000,170.797029018358,30.6236423881622,32.6832281991544,5.52221894345832,23.4123143914382,42.7101573534819,24.1728544040261,11.6726133386365
