"variable","change.Cday","change.Rd","change.alloc","change.Y","change.sf","change.k"
"Mleaf",2.35035357354797,-0.0118793826151452,1.60473395409698,0.234770857562003,0.45945880452656,0.199867192322024
"Mstem",2.01523484476627,-0.01047406919098,0.226505002192523,0.225860972507387,0.254645629835482,0.3283569232318
"Mroot",2.59343423229494,-0.0119891544749266,0.615290022867404,0.242397958408109,0.265281703387757,0.390203175086675
