"","pfile","lfile","totPARleaf","totPARdir","totPARdiff","totPARinc","totALEAF","totALEAF0","totELEAF"
"1","yplant/euc_plfiles/euchae3.p","yplant/euc_plfiles/euchae.l",2.51137556306915,1.29998986649303,1.21138569657612,5.45795072220488,0.0545576910763255,0.0635954539619018,0.0214996416379495
"2","yplant/euc_plfiles/euchae1.p","yplant/euc_plfiles/euchae.l",0.584332794918656,0.296497525539521,0.287835269379135,1.19165800661963,0.0122108984242182,0.0138850707445918,0.0048224122362629
"3","yplant/euc_plfiles/euchae2.p","yplant/euc_plfiles/euchae.l",5.55553053850765,2.9949895249514,2.56054101355625,11.8908141546163,0.117604476972361,0.138550485819327,0.0465026221104171
"4","yplant/euc_plfiles/euchaeR90.p","yplant/euc_plfiles/euchae.l",3.07971119379027,1.69702384037615,1.38268735341412,6.0326902267037,0.0620787807184506,0.0702922567655143,0.0245659905086176
"5","yplant/euc_plfiles/euchaeR50.p","yplant/euc_plfiles/euchae.l",1.47166429651047,0.769625155527671,0.702039140982796,2.98106571868018,0.0304793978587615,0.0347350566758401,0.0120566570895328
"6","yplant/euc_plfiles/euchaeR70.p","yplant/euc_plfiles/euchae.l",3.15414929844883,1.68623522750012,1.4679140709487,6.55733766444303,0.0663008164178815,0.076405392202454,0.0262147120057744
"7","yplant/euc_plfiles/euchaeR91.p","yplant/euc_plfiles/euchae.l",2.11179352781297,1.09003426375946,1.02175926405351,4.52624998748481,0.0455783062703102,0.0527393773505644,0.0180309920127674
"8","yplant/euc_plfiles/euchaeR71.p","yplant/euc_plfiles/euchae.l",1.72738952902703,0.876326300673442,0.851063228353587,3.68318315792738,0.0368957546493266,0.042916053455792,0.0146175265799749
"9","yplant/euc_plfiles/10nd.p","yplant/euc_plfiles/10nd_leaf.l",75.5174837569953,42.3281074935897,33.1893762634055,185.934834544212,1.69066781503268,2.16649266583949,0.671451719283821
"10","yplant/euc_plfiles/11nd.p","yplant/euc_plfiles/11nd_leaf.l",78.875256756465,43.9638459474328,34.9114108090323,218.462329682473,1.8592338413275,2.54549953578896,0.739214020025151
"11","yplant/euc_plfiles/12nd.p","yplant/euc_plfiles/12nd_leaf.l",59.1602756381467,32.7955236630515,26.3647519750952,150.589859108591,1.36919275468613,1.75465681892431,0.544652069738761
"12","yplant/euc_plfiles/7d.p","yplant/euc_plfiles/7d_leaf.l",44.9525970350746,25.232837395191,19.7197596398836,99.2496486495759,0.952678792525824,1.15644621629695,0.378877370869517
"13","yplant/euc_plfiles/33d.p","yplant/euc_plfiles/33d_leaf.l",37.9996579078086,20.97797776965,17.0216801381586,91.7940804382157,0.855010916065802,1.0695747385065,0.339647479886604
"14","yplant/euc_plfiles/8d.p","yplant/euc_plfiles/8d_leaf.l",54.1440038734504,28.9785807115501,25.1654231619003,150.932962891528,1.32578308661257,1.75865462724881,0.527098022839976
"15","yplant/euc_plfiles/35nd.p","yplant/euc_plfiles/35nd_leaf.l",57.1015959288255,31.3569298334482,25.7446660953773,137.779354131345,1.2853578178778,1.60539019469579,0.510529031147418
"16","yplant/euc_plfiles/36nd.p","yplant/euc_plfiles/36nd_leaf.l",32.2743140332346,18.0159640257806,14.2583500074539,71.3111460156737,0.689088818422906,0.830909792746933,0.27376139298204
"17","yplant/euc_plfiles/46nd.p","yplant/euc_plfiles/46nd_leaf.l",53.6536864853867,28.9449333370503,24.7087531483364,144.847909791357,1.30892542444988,1.68775224392144,0.519414623582729
"18","yplant/euc_plfiles/9d.p","yplant/euc_plfiles/9d_leaf.l",38.8778874920611,21.6737717265857,17.2041157654754,85.4983148355981,0.82665387302146,0.996217155795595,0.32848919683813
"19","yplant/euc_plfiles/44d.p","yplant/euc_plfiles/44d_leaf.l",29.7192211148783,16.787750262646,12.9314708522323,59.8265905174722,0.596730980608426,0.697092989035717,0.236963477531153
"20","yplant/euc_plfiles/45d.p","yplant/euc_plfiles/45d_leaf.l",26.4921491029792,14.8374423405284,11.6547067624508,53.3957631285374,0.535706547198802,0.622161680937589,0.212739313838587
"21","yplant/euc_plfiles/21d.p","yplant/euc_plfiles/21d_leaf.l",42.1944459964805,23.284406780987,18.9100392154935,101.386083630257,0.946564090371694,1.18133972658529,0.375848479115286
"22","yplant/euc_plfiles/47nd.p","yplant/euc_plfiles/47nd_leaf.l",63.4722957822561,34.6988927064903,28.7734030757658,151.688012530328,1.42265362332142,1.76745238431684,0.565374784174017
"23","yplant/euc_plfiles/23nd.p","yplant/euc_plfiles/23nd_leaf.l",66.0271265281425,36.7769640636458,29.2501624644967,152.318566633252,1.45254345658086,1.77479953280975,0.576644131757765
"24","yplant/euc_plfiles/20d.p","yplant/euc_plfiles/20d_leaf.l",36.9433015970491,20.3239744087112,16.6193271883379,79.5415794368595,0.77723606664006,0.926809916504752,0.308273490550558
"25","yplant/euc_plfiles/19d.p","yplant/euc_plfiles/19d_leaf.l",48.1417314570707,26.3263704865425,21.8153609705282,114.663788387057,1.07320951036839,1.33605011232503,0.425948538524398
"26","yplant/euc_plfiles/22nd.p","yplant/euc_plfiles/22nd_leaf.l",88.5223006767949,47.9598361631882,40.5624645136067,263.416756709214,2.22729922605351,3.0693036776497,0.885337214349567
"27","yplant/euc_plfiles/43d.p","yplant/euc_plfiles/43d_leaf.l",42.7753646118474,23.5566346651538,19.2187299466936,102.662568442475,0.962159482748296,1.19621319013238,0.381906162384111
"28","yplant/euc_plfiles/24nd.p","yplant/euc_plfiles/24nd_leaf.l",78.791274210069,42.9321129669854,35.8591612430836,214.858711283813,1.9050978416664,2.50351056233855,0.756593816298417
