"Volume (L)","GPP (g C)","Rg (g C)","Rm (g C)","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Clit (g C)"
5,18.1647534098243,3.54694078189513,6.5761624078739,0.197480356423214,0.803392956058003,2.66900875352622,2.50413118939707,1.86763696465072
10,25.5689741722896,4.82463728392266,9.6314890316171,0.294596924773645,1.19524610575501,3.84633392894903,3.43142897346834,2.34524192380383
15,31.5687797723819,5.71119532019203,10.7831128287329,0.856118396770113,1.75721244729809,5.52510904334993,4.34546529611438,2.59056643992444
20,26.7599768714938,4.43996969964061,10.0700388327019,0.424197020181254,1.74213614241939,4.57167641151199,3.43165362552494,2.0803051395137
25,35.509987538521,7.1286344305168,8.8620677684162,0.629393623729843,2.86759737879491,7.64732130448515,5.49887368254153,2.87609935003657
35,51.812610535137,10.0179726038573,12.7572387701285,1.30368247536505,4.3996248294411,11.794995693083,8.05890680412492,3.48018935913706
1000,170.797029018358,31.4556659059802,32.7273875637615,5.35230148583299,24.1834606215766,41.0549847551696,24.1902458637882,11.8329828222485
