actual_leaf_area mean_projected_area sunlit_area shaded_area mean_flux0 rel_mean_flux0 variance0 
4244.417969 1270.162231 1128.607300 141.554932 0.214682 0.290222 0.0 
3020.382080 1428.233521 1285.735352 142.498169 0.343928 0.464947 0.0 
2315.277832 530.837219 469.818024 61.019196 0.165904 0.224281 0.0 
2045.948486 615.515442 574.744080 40.771362 0.227647 0.307749 0.0 
1809.066406 221.138260 161.826218 59.312042 0.0760485 0.102808 0.0 
1688.432129 410.819366 333.048798 77.770569 0.160812 0.217397 0.0 
4571.862793 1967.631836 1791.050781 176.581055 0.319202 0.43152 0.0 
3813.329102 1854.815063 1705.961548 148.853516 0.362959 0.490674 0.0 
4553.004883 1888.089966 1030.989624 857.100342 0.185049 0.250162 0.0 
1358.352539 1291.068970 1193.859863 97.209106 0.710473 0.960468 0.0 
3448.902344 1402.234497 1126.519287 275.715210 0.268264 0.362658 0.0 
4106.104004 555.022522 453.113403 101.909119 0.0957247 0.129407 0.0 
2701.896729 1462.055176 1342.113525 119.941650 0.409653 0.553797 0.0 
2419.425293 597.486084 515.755798 81.730286 0.177938 0.24055 0.0 
1876.988403 123.523888 59.510284 64.013603 0.0301575 0.0407691 0.0 
1250.805054 825.969727 769.457520 56.512207 0.5055 0.68337 0.0 
5874.208008 1078.908203 441.106934 637.801270 0.0649908 0.0878591 0.0 
4904.957031 2578.582275 1319.666626 1258.915649 0.222678 0.301032 0.0 
2033.338501 809.672607 505.837433 303.835175 0.2126 0.287408 0.0 
2697.059326 179.137527 78.825027 100.312500 0.0290336 0.0392497 0.0 
5529.877441 896.610352 259.443970 637.166382 0.0485814 0.0656758 0.0 
1933.862183 473.878448 293.375275 180.503174 0.133357 0.180281 0.0 
1022.058777 255.001785 219.770432 35.231354 0.178067 0.240724 0.0 
2735.865234 566.682068 512.101685 54.580383 0.154647 0.209063 0.0 
1055.049194 299.438873 265.186188 34.252686 0.207795 0.280912 0.0 
5283.529297 2715.782227 2078.683838 637.098389 0.326097 0.440841 0.0 
2414.847900 124.998955 78.825027 46.173927 0.0472826 0.0639199 0.0 
1307.386719 24.798412 2.610100 22.188313 0.0174392 0.0235756 0.0 
3040.876221 1397.223511 1253.892090 143.331421 0.346169 0.467976 0.0 
1103.973145 455.752533 300.683533 155.069000 0.228597 0.309034 0.0 
6662.254883 3503.196533 3155.089111 348.107422 0.385493 0.521136 0.0 
2784.759766 412.912506 376.376465 36.536041 0.112128 0.151583 0.0 
3454.368164 168.851044 92.919571 75.931473 0.0290224 0.0392345 0.0 
4521.658691 1842.463257 1626.614502 215.848755 0.293494 0.396766 0.0 
