"Date","volume","carbon_day"
2013-01-21,"5",5.88659200728268
2013-01-21,"10",6.43964533189871
2013-01-21,"15",7.30299184863996
2013-01-21,"20",7.58039699106486
2013-01-21,"25",7.70447397762789
2013-01-21,"35",7.26175818482199
2013-01-21,"1000",9.65587842519306
2013-01-22,"5",4.98580006997949
2013-01-22,"10",5.46067587471795
2013-01-22,"15",6.18838995593507
2013-01-22,"20",6.41648964620571
2013-01-22,"25",6.52834091485194
2013-01-22,"35",6.18152821634769
2013-01-22,"1000",8.20894053897512
2013-01-23,"5",3.76168603359592
2013-01-23,"10",4.071955729372
2013-01-23,"15",4.68570368530227
2013-01-23,"20",4.89870512782659
2013-01-23,"25",4.98245725004005
2013-01-23,"35",4.68492676214807
2013-01-23,"1000",6.17749984979214
2013-01-24,"5",5.87598002465274
2013-01-24,"10",6.48131192730272
2013-01-24,"15",7.35014088039759
2013-01-24,"20",7.62057510860183
2013-01-24,"25",7.71676930379098
2013-01-24,"35",7.27731143556106
2013-01-24,"1000",9.70292809111147
2013-01-25,"5",6.4953637625288
2013-01-25,"10",7.14042000492128
2013-01-25,"15",8.07588612896883
2013-01-25,"20",8.35399399736426
2013-01-25,"25",8.47027787362309
2013-01-25,"35",7.98396068347351
2013-01-25,"1000",10.6059144590468
2013-01-26,"5",6.45891364223662
2013-01-26,"10",7.06285270490462
2013-01-26,"15",8.04626731133411
2013-01-26,"20",8.32378843130021
2013-01-26,"25",8.44286339884134
2013-01-26,"35",7.94093816487033
2013-01-26,"1000",10.5664670785471
2013-01-27,"5",3.27526780468096
2013-01-27,"10",3.57154481439838
2013-01-27,"15",4.08850909236389
2013-01-27,"20",4.31043912547883
2013-01-27,"25",4.38036986216988
2013-01-27,"35",4.12854032058362
2013-01-27,"1000",5.44546440673583
2013-01-28,"5",1.73592957547465
2013-01-28,"10",1.90111565945884
2013-01-28,"15",2.24781389293591
2013-01-28,"20",2.33799862311078
2013-01-28,"25",2.44379393838267
2013-01-28,"35",2.21352162075539
2013-01-28,"1000",2.96547183296831
2013-01-29,"5",6.63122651921968
2013-01-29,"10",7.32842042940401
2013-01-29,"15",8.21923918001686
2013-01-29,"20",8.49879379436988
2013-01-29,"25",8.64812036782415
2013-01-29,"35",8.15788884465444
2013-01-29,"1000",10.8702550270053
2013-01-30,"5",5.52534789111064
2013-01-30,"10",6.09813951230475
2013-01-30,"15",6.84337029609503
2013-01-30,"20",7.12501912333436
2013-01-30,"25",7.24062285710396
2013-01-30,"35",6.84642304844487
2013-01-30,"1000",9.08320570765243
2013-01-31,"5",6.72536155487085
2013-01-31,"10",7.37919596282329
2013-01-31,"15",8.41036258280132
2013-01-31,"20",8.6764305564852
2013-01-31,"25",8.78257063337335
2013-01-31,"35",8.2867060758831
2013-01-31,"1000",11.0033044742442
2013-02-01,"5",3.26387690924402
2013-02-01,"10",3.51629523263849
2013-02-01,"15",4.09417785600552
2013-02-01,"20",4.26422936566343
2013-02-01,"25",4.39363772304805
2013-02-01,"35",4.08543788326695
2013-02-01,"1000",5.40839372201207
2013-02-02,"5",3.48689057689861
2013-02-02,"10",3.81152058400182
2013-02-02,"15",4.34842315567457
2013-02-02,"20",4.54108810381334
2013-02-02,"25",4.5910170210889
2013-02-02,"35",4.37400770407972
2013-02-02,"1000",5.75016296898591
2013-02-03,"5",5.51072984984292
2013-02-03,"10",6.00775029806263
2013-02-03,"15",6.82050961012456
2013-02-03,"20",7.0866730939225
2013-02-03,"25",7.10646101155981
2013-02-03,"35",6.81426913651815
2013-02-03,"1000",8.91530664274748
