"Date","volume","Rd_daily"
2013-01-21,5,0.012741878146029
2013-01-21,10,0.015002100315745
2013-01-21,15,0.01540991846439
2013-01-21,20,0.0155304309394227
2013-01-21,25,0.00995821511559059
2013-01-21,35,0.012040346014287
2013-01-21,1000,0.0129339498445338
2013-01-22,5,0.0130033765561549
2013-01-22,10,0.0153099847057978
2013-01-22,15,0.015726172405326
2013-01-22,20,0.0158491581280432
2013-01-22,25,0.0101625850986162
2013-01-22,35,0.0122874470541822
2013-01-22,1000,0.0131993900945686
2013-01-23,5,0.0119485179493245
2013-01-23,10,0.0140680096643453
2013-01-23,15,0.0144504354271174
2013-01-23,20,0.01456344431439
2013-01-23,25,0.00933817689105357
2013-01-23,35,0.0112906660084974
2013-01-23,1000,0.012128630497164
2013-01-24,5,0.0134310080776255
2013-01-24,10,0.0158134717828011
2013-01-24,15,0.0162433463103926
2013-01-24,20,0.0163703765650433
2013-01-24,25,0.0104967938104095
2013-01-24,35,0.0126915343815065
2013-01-24,1000,0.0136334677546477
2013-01-25,5,0.0149706408232338
2013-01-25,10,0.0176262127801885
2013-01-25,15,0.0181053649863696
2013-01-25,20,0.018246957062338
2013-01-25,25,0.0117000696465195
2013-01-25,35,0.0141463992593211
2013-01-25,1000,0.0151963090000654
2013-01-26,5,0.0155225680846867
2013-01-26,10,0.0182760438371502
2013-01-26,15,0.0187728610964241
2013-01-26,20,0.0189196732914011
2013-01-26,25,0.0121314197453603
2013-01-26,35,0.0146679389512292
2013-01-26,1000,0.0157565560402309
2013-01-27,5,0.0113529971777042
2013-01-27,10,0.0133668522483374
2013-01-27,15,0.0137302176986675
2013-01-27,20,0.0138375941602255
2013-01-27,25,0.00887275696773988
2013-01-27,35,0.010727932943024
2013-01-27,1000,0.0115241328161126
2013-01-28,5,0.0107379783952405
2013-01-28,10,0.0126427381605361
2013-01-28,15,0.0129864192426458
2013-01-28,20,0.0130879788666217
2013-01-28,25,0.00839209867971424
2013-01-28,35,0.0101467753725872
2013-01-28,1000,0.0108998432102423
2013-01-29,5,0.0125134250838589
2013-01-29,10,0.0147331230333667
2013-01-29,15,0.0151336292846761
2013-01-29,20,0.0152519810543845
2013-01-29,25,0.00977967120622084
2013-01-29,35,0.0118244709380206
2013-01-29,1000,0.012702053069657
2013-01-30,5,0.0121369439428656
2013-01-30,10,0.0142898596635999
2013-01-30,15,0.0146783162123332
2013-01-30,20,0.0147931072295698
2013-01-30,25,0.0094854382724251
2013-01-30,35,0.0114687177944524
2013-01-30,1000,0.0123198968334088
2013-01-31,5,0.0152025830632422
2013-01-31,10,0.0178992981693427
2013-01-31,15,0.0183858739479226
2013-01-31,20,0.0185296597298021
2013-01-31,25,0.0118813404681303
2013-01-31,35,0.0143655714090642
2013-01-31,1000,0.015431747548819
2013-02-01,5,0.0104346750082609
2013-02-01,10,0.0122856332043101
2013-02-01,15,0.0126196067202088
2013-02-01,20,0.012718297705713
2013-02-01,25,0.00815505667238882
2013-02-01,35,0.00986017102080422
2013-02-01,1000,0.0105919678130745
2013-02-02,5,0.00802291624709704
2013-02-02,10,0.0094460638364589
2013-02-02,15,0.00970284629922674
2013-02-02,20,0.00977872690982718
2013-02-02,25,0.0062701844207997
2013-02-02,35,0.00758119694378006
2013-02-02,1000,0.00814385408160476
2013-02-03,5,0.00955094740899501
2013-02-03,10,0.011245145299463
2013-02-03,15,0.0115508341190783
2013-02-03,20,0.0116411668234076
2013-02-03,25,0.00746439322103438
2013-02-03,35,0.00902509898859739
2013-02-03,1000,0.00969491886046803
2013-02-04,5,0.0108651647668585
2013-02-04,10,0.0127924855277562
2013-02-04,15,0.0131402373528138
2013-02-04,20,0.0132429999034116
2013-02-04,25,0.00849149919460125
2013-02-04,35,0.0102669592187228
2013-02-04,1000,0.0110289467954879
2013-02-05,5,0.0110498977762127
2013-02-05,10,0.0130099874616313
2013-02-05,15,0.0133636518745354
2013-02-05,20,0.0134681616269132
2013-02-05,25,0.00863587438207494
2013-02-05,35,0.0104415213458594
2013-02-05,1000,0.0112164644793202
2013-02-06,5,0.0118173165231378
2013-02-06,10,0.0139135350308051
2013-02-06,15,0.0142917615442897
2013-02-06,20,0.0144035295306199
2013-02-06,25,0.00923563847321077
2013-02-06,35,0.0111666881654548
2013-02-06,1000,0.0119954513342194
2013-02-07,5,0.0126468816052729
2013-02-07,10,0.0148902527829294
2013-02-07,15,0.0152950304603868
2013-02-07,20,0.0154146444596912
2013-02-07,25,0.00988397205838629
2013-02-07,35,0.0119505797170618
2013-02-07,1000,0.0128375213212454
2013-02-08,5,0.0140874565552229
2013-02-08,10,0.0165863645855865
2013-02-08,15,0.0170372494854125
2013-02-08,20,0.017170488419024
2013-02-08,25,0.0110098308271898
2013-02-08,35,0.0133118406440718
2013-02-08,1000,0.0142998115689159
2013-02-09,5,0.0141533853648923
2013-02-09,10,0.0166639881984498
2013-02-09,15,0.0171169832240198
2013-02-09,20,0.0172508457112344
2013-02-09,25,0.0110613564548468
2013-02-09,35,0.0133741395980904
2013-02-09,1000,0.0143667341927083
2013-02-10,5,0.0131342624476515
2013-02-10,10,0.015464087833425
2013-02-10,15,0.015884464683198
2013-02-10,20,0.0160086883225354
2013-02-10,25,0.0102648769152685
2013-02-10,35,0.0124111267349911
2013-02-10,1000,0.0133322489664376
2013-02-11,5,0.0102586530307874
2013-02-11,10,0.0120783875115191
2013-02-11,15,0.0124067272459491
2013-02-11,20,0.0125037534184703
2013-02-11,25,0.00801748945532207
2013-02-11,35,0.00969384032052512
2013-02-11,1000,0.0104132924716464
