"r2","intercept","b","p","volume"
0.577259362794798,0.750951200905238,-0.0378142591397173,1.25343066988238e-12,"5"
0.577878200039193,0.754989984252538,-0.037115010844503,1.19980805982005e-12,"10"
0.578949720723193,0.7568765351376,-0.0368517546548084,1.11216278698471e-12,"15"
0.577599860248899,0.754081301392387,-0.0371504324832832,1.22364598840071e-12,"20"
0.577106259371402,0.754315505361415,-0.0371523708509292,1.26705063920392e-12,"25"
0.578521937541239,0.751416385791237,-0.0377434098956884,1.14638423517103e-12,"35"
0.578031569786857,0.753086683300831,-0.0373673682387284,1.18686554689175e-12,"1000"
