"Date","volume","tnc.conc","tnc.conc_SE","tnc","tnc_SE"
2013-03-07,5,0.193656260081944,0.0207672151257399,0.45168049308017,0.048437091390317
2013-03-22,5,0.161113617041667,0.0180066497751949,0.375778598412035,0.041998396776538
2013-04-08,5,0.186832481275,0.00875467620015755,0.373512711484514,0.0175022181548651
2013-04-17,5,0.150531867460714,0.0102181403430151,0.244514615697752,0.0165977125060917
2013-05-01,5,0.127281279283333,0.00640058074588695,0.174940449875507,0.00879721261017047
2013-05-16,5,0.130082258010714,0.00864838940913197,0.157118683789955,0.0104458792585987
2013-03-07,10,0.146348609017857,0.011560916291043,0.40107627129231,0.0316833158159247
2013-03-22,10,0.13191851436,0.0176191931096306,0.34471602406322,0.0460406806839811
2013-04-08,10,0.152384474479762,0.00859664397438361,0.392694349040218,0.0221535266041779
2013-04-17,10,0.131365667729762,0.0151261693655608,0.293387023505539,0.0337822041625959
2013-05-16,10,0.115913102546429,0.00482892244571001,0.208441612601992,0.00868364627985501
2013-05-01,10,0.126475573393056,0.0142464413948124,0.207154210733391,0.0233342316126943
2013-03-22,15,0.10195576551875,0.0111274155112827,0.252454887430662,0.0275528354478244
2013-04-08,15,0.119451424991667,0.0115231185447849,0.338668001796427,0.0326702802607663
2013-04-17,15,0.118774028617857,0.0156354094772495,0.357873259912783,0.0471104249372344
2013-05-01,15,0.129247896475,0.0117744364541925,0.363715168264909,0.0331343198068177
2013-05-16,15,0.135417776817857,0.0119649333521579,0.34084849080599,0.0301159092366629
2013-03-07,15,0.109308295595333,0.016251962424602,0.267298762215456,0.0397419922798036
2013-03-07,20,0.15712642379881,0.00797234030660785,0.336005012753313,0.0170483502496403
2013-03-22,20,0.153246246620238,0.019341108560259,0.32843813343006,0.0414519620160192
2013-04-08,20,0.148295242629167,0.0201201983572166,0.306133186721315,0.0415351182637888
2013-04-17,20,0.113092585160714,0.0161436205320752,0.224231660985805,0.0320083835831285
2013-05-01,20,0.110098266626389,0.00663458675773224,0.237362946734721,0.0143036317594943
2013-05-16,20,0.11937613239881,0.00953526186603805,0.257934426952702,0.0206027139247896
2013-03-07,25,0.154878406156944,0.0152794947478538,0.459834688199718,0.0453648889962674
2013-03-22,25,0.128675332046548,0.018885364385615,0.440931648432312,0.0647144617181309
2013-04-08,25,0.150649049152381,0.00914674932732233,0.568795571365179,0.0345347716367325
2013-04-17,25,0.123510441629762,0.0089580865888718,0.424846028758932,0.0308136499419961
2013-05-01,25,0.138135056886111,0.0133741939271697,0.438644458374601,0.0424694221990079
2013-05-16,25,0.142632587847619,0.00864845740893214,0.460353725631413,0.027913323660789
2013-03-07,35,0.130496566224881,0.0110334220634029,0.493002063589872,0.0416830879392023
2013-03-22,35,0.116101721461905,0.00899431514455423,0.602083783494833,0.0466429887859584
2013-04-08,35,0.143572526147222,0.0103579901860834,0.901950990430278,0.0650709418989059
2013-04-17,35,0.124797996147619,0.0122272895344005,0.803493745420454,0.0787236251190661
2013-05-01,35,0.145151433980952,0.0110712940302693,0.885517584312794,0.0675420509189543
2013-05-16,35,0.173098453921429,0.0156703870750886,1.05773752204225,0.0957556582323416
2013-03-07,1000,0.108387816427381,0.0099690787467042,0.556602603998987,0.0511940859478813
2013-03-22,1000,0.0912651706217857,0.0166701857674489,0.856544785187646,0.156453558240642
2013-04-08,1000,0.132835277039286,0.0127974766195547,2.21707613236471,0.213595218078394
2013-04-17,1000,0.105347978507143,0.0108998884074614,2.07365463164496,0.214551853778694
2013-05-01,1000,0.129299656457024,0.0121313420661439,2.81240242125128,0.263869346096761
2013-05-16,1000,0.143022497778571,0.00783561989002441,3.37379779952592,0.184836634470012
