"Date","volume","stemmass","stemmass_SE"
2013-01-21,5,0.629558115467106,0.0522024133399282
2013-01-29,5,0.776101659850822,0.0669074304418111
2013-02-03,5,0.953903101816872,0.0954121126863805
2013-02-11,5,1.14742812926231,0.115046384806928
2013-02-18,5,1.28169765985067,0.150553357545551
2013-02-25,5,1.78456852619526,0.195663421691069
2013-03-04,5,1.98250324793817,0.239059131058171
2013-03-11,5,2.28758711021939,0.317063092617038
2013-03-18,5,2.50411234535883,0.31470154656479
2013-03-25,5,2.70958275477063,0.36267729752117
2013-04-02,5,2.69958486835656,0.347300191058558
2013-04-08,5,2.8162123434265,0.347899713611094
2013-04-15,5,2.99743140276486,0.380476111663296
2013-04-22,5,3.06584601716124,0.357576102704312
2013-04-29,5,3.08717709722501,0.393739582744251
2013-05-06,5,3.12169692273167,0.384493642967736
2013-05-13,5,3.13822056127675,0.384305031442732
2013-05-21,5,3.20366926035696,0.413533092849134
2013-01-21,10,0.629558115467106,0.0522024133399282
2013-01-29,10,0.913683263515887,0.0691482609928493
2013-02-03,10,1.09460784398416,0.0800400862068318
2013-02-11,10,1.38789022654047,0.128978211701145
2013-02-18,10,1.59349563209928,0.118880379184737
2013-02-25,10,1.98340965569224,0.169074296577427
2013-03-04,10,2.44492291216078,0.183025169776204
2013-03-11,10,2.70845216736726,0.328250857172641
2013-03-18,10,3.08654620405378,0.298053202236951
2013-03-25,10,3.13206450947047,0.285208434165462
2013-04-02,10,3.28519178224528,0.221770803867151
2013-04-08,10,3.54174165078912,0.360179518609822
2013-04-15,10,3.60556912187048,0.379720769002248
2013-04-22,10,3.68159137056539,0.346258048781062
2013-04-29,10,3.72449058985603,0.363454113848603
2013-05-06,10,3.74143428751037,0.369868709009807
2013-05-13,10,3.78281040931151,0.383898716642741
2013-05-21,10,3.7498080283664,0.405376038873681
2013-01-21,15,0.629558115467106,0.0522024133399282
2013-01-29,15,0.946655066353238,0.135551560712988
2013-02-03,15,1.00608961391336,0.125061627805228
2013-02-11,15,1.30297450056417,0.160096923062888
2013-02-18,15,1.4303788653762,0.169437496504586
2013-02-25,15,1.78652369113253,0.1958504369482
2013-03-04,15,2.28442836111871,0.286014843305501
2013-03-11,15,2.61306335499114,0.334749164128847
2013-03-18,15,2.93676123937765,0.32740176523838
2013-03-25,15,3.14656946425526,0.374675657169625
2013-04-02,15,3.42895542399842,0.387666927337659
2013-04-08,15,3.62139220788226,0.372948606982803
2013-04-15,15,3.79044680977119,0.36308748521135
2013-04-22,15,3.92074454879408,0.347035359758412
2013-04-29,15,4.11746111715651,0.358455140829269
2013-05-06,15,4.20598257398487,0.322353159430375
2013-05-13,15,4.27638007303775,0.320992047349298
2013-05-21,15,4.35934429359303,0.31727187411731
2013-01-21,20,0.629558115467106,0.0522024133399282
2013-01-29,20,0.736840711903078,0.0315826886114681
2013-02-03,20,0.870041194730263,0.0511336988930053
2013-02-11,20,1.09120189842785,0.0434190317038692
2013-02-18,20,1.33708902917016,0.0351098371109725
2013-02-25,20,1.56535963129028,0.0613914953170084
2013-03-04,20,1.96432788754427,0.163285042669778
2013-03-11,20,2.21838635675544,0.265482695322034
2013-03-18,20,2.38871072475646,0.238302434427285
2013-03-25,20,2.58730056846646,0.319691204053522
2013-04-02,20,2.91096887501847,0.321896312986282
2013-04-08,20,3.01842044543434,0.37045257344855
2013-04-15,20,3.17673309673367,0.39587140278016
2013-04-22,20,3.29463583883787,0.371857049840007
2013-04-29,20,3.49632200760292,0.349953696948288
2013-05-06,20,3.5819423547275,0.359966096828522
2013-05-13,20,3.69908046632632,0.369633910431179
2013-05-21,20,3.76489265001777,0.352401072869435
2013-01-21,25,0.629558115467106,0.0522024133399282
2013-01-29,25,0.834526852372173,0.0995114242023642
2013-02-03,25,0.938704136031356,0.0822127800091813
2013-02-11,25,1.25394474722243,0.103299327503264
2013-02-18,25,1.31632287104747,0.119944569652612
2013-02-25,25,1.71265912122479,0.141060227647583
2013-03-04,25,2.16401595928992,0.219382317342682
2013-03-11,25,2.58313353921762,0.322411942496101
2013-03-18,25,3.07383009966702,0.397952565609093
2013-03-25,25,3.4654195705154,0.554611153032549
2013-04-02,25,3.67079278034121,0.56874463534338
2013-04-08,25,3.9309539207367,0.614590152880525
2013-04-15,25,4.25268033764578,0.689405691317252
2013-04-22,25,4.48080315013621,0.698867702957568
2013-04-29,25,4.51086544773757,0.684160977140561
2013-05-06,25,4.76821652809637,0.74751049443572
2013-05-13,25,4.9559632677791,0.811120232402071
2013-05-21,25,4.99574700395816,0.763612049616176
2013-01-21,35,0.629558115467106,0.0522024133399282
2013-01-29,35,0.808975919371077,0.105243125063368
2013-02-03,35,0.970345603432174,0.102206539286943
2013-02-11,35,1.28264096719405,0.139752114703526
2013-02-18,35,1.44424681301221,0.15484563793867
2013-02-25,35,1.9581807669097,0.249711727415765
2013-03-04,35,2.71191912149137,0.34963759223936
2013-03-11,35,3.610688531411,0.488298198880603
2013-03-18,35,4.28099280704933,0.548044494002496
2013-03-25,35,5.18118921687477,0.709668712433268
2013-04-02,35,5.9620611318683,0.87764801495508
2013-04-08,35,6.5039063997911,0.994935698962811
2013-04-15,35,7.15118897984676,1.12513187666492
2013-04-22,35,7.34852095643914,1.16707261559584
2013-04-29,35,7.70554723658212,1.22501272587866
2013-05-06,35,8.23872272396119,1.38593635719823
2013-05-13,35,8.46709956672247,1.43957630238723
2013-05-21,35,8.64856779697085,1.48662085708731
2013-01-21,1000,0.629558115467106,0.0522024133399282
2013-01-29,1000,0.692835739987182,0.0331918910077191
