"Date","volume","tdc_gross"
2013-03-13,"5",0.250552413305866
2013-05-04,"5",0.0865941558494592
2013-02-24,"5",0.259281175476581
2013-04-17,"5",0.124682082598497
2013-02-07,"5",0.202856948234125
2013-03-31,"5",0.171230288572801
2013-01-21,"5",0.0793025682044383
2013-03-14,"5",0.164051937862697
2013-05-05,"5",0.0855608664087331
2013-02-25,"5",0.22576217081226
2013-04-18,"5",0.13328083017728
2013-02-08,"5",0.184817355129795
2013-04-01,"5",0.208786247050057
2013-01-22,"5",0.0568373287908705
2013-03-15,"5",0.149490508577583
2013-05-06,"5",0.0772448252369664
2013-02-26,"5",0.230162162205023
2013-04-19,"5",0.105531125792786
2013-02-09,"5",0.177043400795702
2013-04-02,"5",0.212465324733802
2013-01-23,"5",0.0348353784682901
2013-03-16,"5",0.250912710475671
2013-05-07,"5",0.0771362866109246
2013-02-27,"5",0.256184983720864
2013-04-20,"5",0.0849454241555379
2013-02-10,"5",0.159688556529388
2013-04-03,"5",0.086521380795276
2013-01-24,"5",0.0487375437276781
2013-03-17,"5",0.226153501108867
2013-05-08,"5",0.0849340542082854
2013-02-28,"5",0.164138560468554
2013-04-21,"5",0.113270873637868
2013-02-11,"5",0.109887009853312
2013-04-04,"5",0.110448306848647
2013-01-25,"5",0.0536419224143113
2013-03-18,"5",0.217027791959322
2013-05-09,"5",0.0805392778414804
2013-03-01,"5",0.0937824407882266
2013-04-22,"5",0.107250654833717
2013-02-12,"5",0.094018572115414
2013-04-05,"5",0.160135696610603
2013-01-26,"5",0.0587154611431418
2013-03-19,"5",0.213211635092006
2013-05-10,"5",0.0806596798310494
2013-03-02,"5",0.142677321056236
2013-04-23,"5",0.116432157705932
2013-02-13,"5",0.184321593016065
2013-04-06,"5",0.157526873716472
2013-01-27,"5",0.0333528231103337
2013-03-20,"5",0.229972446569457
2013-05-11,"5",0.0728311641743575
2013-03-03,"5",0.167454994830502
2013-04-24,"5",0.112676106700482
2013-02-14,"5",0.219538542213494
2013-04-07,"5",0.167730471194965
2013-01-28,"5",0.0241694653628796
2013-03-21,"5",0.209277217572145
2013-05-12,"5",0.072494315401297
2013-03-04,"5",0.24534496750232
2013-04-25,"5",0.107844020675946
2013-02-15,"5",0.18036267899666
2013-04-08,"5",0.175014027104436
2013-01-29,"5",0.0879970119901204
2013-03-22,"5",0.201382400472354
2013-05-13,"5",0.056443592820593
2013-03-05,"5",0.268275443518004
2013-04-26,"5",0.114957133916777
2013-02-16,"5",0.186173684585413
2013-04-09,"5",0.152645998640609
2013-01-30,"5",0.0911747628830173
2013-03-23,"5",0.213547015607891
2013-05-14,"5",0.071776125547121
2013-03-06,"5",0.258732495618104
2013-04-27,"5",0.112589914330055
2013-02-17,"5",0.239910485073383
2013-04-10,"5",0.161815577563823
2013-01-31,"5",0.126792836740859
2013-03-24,"5",0.235156390457609
2013-05-15,"5",0.0665597357288444
2013-03-07,"5",0.263164274968925
2013-04-28,"5",0.115786806803955
2013-02-18,"5",0.225280411703608
2013-04-11,"5",0.16245784247415
2013-02-01,"5",0.0738651576596891
2013-03-25,"5",0.235782934151735
2013-05-16,"5",0.0797287782195848
2013-03-08,"5",0.221131474051247
2013-04-29,"5",0.109644304983281
2013-02-19,"5",0.26916162607838
2013-04-12,"5",0.152797809044125
2013-02-02,"5",0.0846900341945851
2013-03-26,"5",0.203713312987491
2013-05-17,"5",0.085894891995478
2013-03-09,"5",0.249442692121294
2013-04-30,"5",0.0983484705977956
2013-02-20,"5",0.238002176291631
2013-04-13,"5",0.161558779252803
2013-02-03,"5",0.142013552944235
2013-03-27,"5",0.182479082785288
2013-05-18,"5",0.0801383372464201
2013-03-10,"5",0.244753639224845
2013-05-01,"5",0.0984843279365223
2013-02-21,"5",0.25076394893206
2013-04-14,"5",0.150868097238261
