"Date","volume","carbon_day"
2013-01-21,"5",6.54367448022436
2013-01-21,"10",7.32656537805721
2013-01-21,"15",7.91778188319289
2013-01-21,"20",8.21393800306075
2013-01-21,"25",8.22988376075231
2013-01-21,"35",7.8680969741873
2013-01-21,"1000",10.4836175522579
2013-01-22,"5",5.62717516963762
2013-01-22,"10",6.30452320418154
2013-01-22,"15",6.81807243072071
2013-01-22,"20",7.06066325803623
2013-01-22,"25",7.0667020535723
2013-01-22,"35",6.7538248998088
2013-01-22,"1000",9.00242969345828
2013-01-23,"5",4.31050769446312
2013-01-23,"10",4.8230231141379
2013-01-23,"15",5.20796781481059
2013-01-23,"20",5.41287513090652
2013-01-23,"25",5.43023559790238
2013-01-23,"35",5.19262824414783
2013-01-23,"1000",6.91690028742503
2013-01-24,"5",6.57870571400586
2013-01-24,"10",7.37105301115384
2013-01-24,"15",7.97264856204843
2013-01-24,"20",8.25437323578712
2013-01-24,"25",8.25933232517952
2013-01-24,"35",7.89422895735231
2013-01-24,"1000",10.5217771116608
2013-01-25,"5",7.2407100257061
2013-01-25,"10",8.12248610329086
2013-01-25,"15",8.79489606173542
2013-01-25,"20",9.07790716858245
2013-01-25,"25",9.06757348642982
2013-01-25,"35",8.65960341303339
2013-01-25,"1000",11.5527053191914
2013-01-26,"5",7.26541401787406
2013-01-26,"10",8.14794313859989
2013-01-26,"15",8.81946293312192
2013-01-26,"20",9.11036153921451
2013-01-26,"25",9.1046813104223
2013-01-26,"35",8.69584968015551
2013-01-26,"1000",11.5997069671561
2013-01-27,"5",3.80976350121737
2013-01-27,"10",4.25632566750672
2013-01-27,"15",4.58817546074304
2013-01-27,"20",4.78846372110869
2013-01-27,"25",4.81667985285621
2013-01-27,"35",4.60894933824887
2013-01-27,"1000",6.13455049781204
2013-01-28,"5",2.24344139986703
2013-01-28,"10",2.50639782653648
2013-01-28,"15",2.7017147180757
2013-01-28,"20",2.81975276874823
2013-01-28,"25",2.83646884930734
2013-01-28,"35",2.71407293031915
2013-01-28,"1000",3.612541924024
2013-01-29,"5",7.26109903794416
2013-01-29,"10",8.12601850563337
2013-01-29,"15",8.77919940892171
2013-01-29,"20",9.11749440919303
2013-01-29,"25",9.13998272624801
2013-01-29,"35",8.74208923028535
2013-01-29,"1000",11.6424079962186
2013-01-30,"5",6.15655061533164
2013-01-30,"10",6.88973717028381
2013-01-30,"15",7.44432603399601
2013-01-30,"20",7.73077430967369
2013-01-30,"25",7.74790397139669
2013-01-30,"35",7.41235258154828
2013-01-30,"1000",9.86904664835249
2013-01-31,"5",7.53527534236218
2013-01-31,"10",8.44980998857174
2013-01-31,"15",9.1468560250876
2013-01-31,"20",9.44961908668837
2013-01-31,"25",9.4432155428684
2013-01-31,"35",9.02124949726649
2013-01-31,"1000",12.0308729926751
2013-02-01,"5",3.78498903174926
2013-02-01,"10",4.23313272426073
2013-02-01,"15",4.56916849253805
2013-02-01,"20",4.75435529472335
2013-02-01,"25",4.77280951367519
2013-02-01,"35",4.56532238936908
2013-02-01,"1000",6.07923956304083
2013-02-02,"5",3.93336515859905
2013-02-02,"10",4.38626916463896
2013-02-02,"15",4.76273435692466
2013-02-02,"20",4.95902883900321
2013-02-02,"25",4.95057359866525
2013-02-02,"35",4.78155257719681
2013-02-02,"1000",6.30340811862624
2013-02-03,"5",6.03118479882152
2013-02-03,"10",6.72709753117371
2013-02-03,"15",7.31461703740111
2013-02-03,"20",7.60321589241758
2013-02-03,"25",7.55144352711288
2013-02-03,"35",7.30837875094438
2013-02-03,"1000",9.61484784025822
2013-02-04,"5",6.50243119994958
2013-02-04,"10",7.27253366556702
2013-02-04,"15",7.86168374900248
2013-02-04,"20",8.16872358077718
2013-02-04,"25",8.1759224123832
2013-02-04,"35",7.83730452675567
2013-02-04,"1000",10.4129323413206
2013-02-05,"5",7.17121684315672
2013-02-05,"10",8.02452881351403
2013-02-05,"15",8.67580100098687
2013-02-05,"20",9.00605235103158
2013-02-05,"25",9.01505349045854
2013-02-05,"35",8.63374105767835
2013-02-05,"1000",11.4825042116245
2013-02-06,"5",7.60857659444806
2013-02-06,"10",8.51722724973755
2013-02-06,"15",9.21597421457355
2013-02-06,"20",9.55347498148176
2013-02-06,"25",9.54630342517979
2013-02-06,"35",9.14891851510284
2013-02-06,"1000",12.1589009852774
2013-02-07,"5",7.53996017864952
2013-02-07,"10",8.45132592031964
2013-02-07,"15",9.14931717116177
2013-02-07,"20",9.45898358106429
2013-02-07,"25",9.45062954469468
2013-02-07,"35",9.03717893281615
2013-02-07,"1000",12.0395042721141
2013-02-08,"5",6.70220498382334
2013-02-08,"10",7.51594231233682
2013-02-08,"15",8.13813082690006
2013-02-08,"20",8.40500215859899
2013-02-08,"25",8.39617587521786
2013-02-08,"35",8.02275967547365
2013-02-08,"1000",10.6968799497849
2013-02-09,"5",6.26771041097885
2013-02-09,"10",7.02370580876161
2013-02-09,"15",7.59776454651652
2013-02-09,"20",7.86331035472576
2013-02-09,"25",7.86678551744292
2013-02-09,"35",7.51783788972827
2013-02-09,"1000",10.021862327314
2013-02-10,"5",5.6533122600169
2013-02-10,"10",6.33826566542293
2013-02-10,"15",6.85906886253148
2013-02-10,"20",7.09021884296433
2013-02-10,"25",7.08858190365084
2013-02-10,"35",6.77170996721994
2013-02-10,"1000",9.0308880547408
2013-02-11,"5",3.79993377688433
2013-02-11,"10",4.24670525863312
2013-02-11,"15",4.57943407056925
2013-02-11,"20",4.7751670196151
2013-02-11,"25",4.80062944914612
2013-02-11,"35",4.59290182188195
