"Volume (L)","GPP (g C)","Rd (g C)","Rd (g C).1","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Clit (g C)"
5,18.1647534098243,3.76868346408552,7.7456379771971,0.148673859823016,0.87027807804014,1.84917593731252,2.34029249748357,1.44201159588239
10,25.5689741722896,5.08981684982074,11.356836206977,0.221189773727608,1.25112047735245,2.67486737320439,3.18854093211244,1.78660255909499
15,31.5687797723819,6.6683605597516,10.7216750138783,0.930361551282705,2.07833397854493,4.47478883135238,4.56905824064977,2.1262015969222
20,26.7599768714938,4.01237003774583,10.7222901844972,0.434397267536922,1.93292227689415,4.83702396282678,3.43610654039388,1.38486660159906
25,35.509987538521,6.27396716314792,10.6154791073791,0.611868983498062,2.97394728965761,7.82188894316746,5.36032271499245,1.8525133366784
35,51.812610535137,8.75374180110827,15.1582206112167,1.30144437120754,4.42517632150444,12.0194792334708,7.92866609960441,2.22588209702484
1000,170.797029018358,31.8826923668014,46.9605877830989,5.91170959894713,23.7456378551908,36.1095264901145,22.9059520997947,3.28092282441019
